k;q;time
1;0.000167673;60.8
2;0.013229;79.4
3;0.27394;271.4
4;0.491517;442.4
5;0.62993;497
6;0.654062;544.4
7;0.701534;525.4
8;0.698213;544
9;0.705615;628
10;0.707088;744.8
11;0.703393;690.6
12;0.707239;537.6
13;0.706072;543.4
14;0.706415;547.2
15;0.69995;551.2
16;0.707563;615.4
17;0.709418;626.6
18;0.708805;775.2
19;0.707514;705.6
20;0.703602;791.8
21;0.699677;694.2
22;0.697741;674.4
23;0.700654;798.6
24;0.700545;827.4
25;0.702521;822.2
