k;q;time
1;0.903898;30139
2;0.911279;29991
3;0.911804;29600
4;0.911811;29756
5;0.911788;31862
6;0.911815;29004
7;0.910921;32051
8;0.911538;35843
9;0.91144;29690
10;0.911211;31925
11;0.910747;34754
12;0.91037;30761
13;0.911502;31156
14;0.910137;32682
15;0.910531;31741
16;0.910342;36856
17;0.909669;36638
18;0.91098;32589
19;0.910508;30079
20;0.909718;30503
21;0.910118;30615
22;0.910466;30707
23;0.909928;30669
24;0.909689;30947
25;0.909669;30863
