k;q;time
1;0.000549155;14416
2;0.242953;51685
3;0.978226;575136
4;0.978318;564485
5;0.977236;581732
6;0.97753;749332
7;0.971799;601932
8;0.972256;603450
9;0.976722;621362
10;0.977075;547143
11;0.976877;641644
12;0.977194;545523
13;0.977817;538042
14;0.976661;535175
15;0.976861;532917
