d;q
1;0.798644
2;0.794683
3;0.796774
4;0.79617
5;0.798605
6;0.799588
7;0.805495
8;0.803549
9;0.80487
10;0.814268
11;0.811916
12;0.81746
13;0.811473
14;0.809458
15;0.0325953
16;0.0530412
17;0.0100499
18;0.0748726
19;0.106963
20;0.109619
