d;q
1;0.713137
2;0.713979
3;0.712242
4;0.71621
5;0.713045
6;0.712449
7;0.699643
8;0.0296929
9;0.000234319
10;0.00010935
11;5.10627e-05
12;6.77159e-05
13;0.000442559
14;0.000417568
15;0.000242659
16;0.000234325
17;0.000242632
18;0.000309261
19;3.43935e-05
20;7.60398e-05
