5.029 4.976 4.615 4.207 4.087
6.115 6.099 5.481 4.952 4.744
7.179 7.155 6.377 5.820 5.584
23.66 23.25 20.92 19.12 18.59
23.85 23.49 22.48 20.92 20.01
70.06 72.89 68.34 63.85 62.97
477.97 85.40 46.08 38.26 30.89
41950 9596 6075 5092 4166
