1 1 0
1 2 1
1 3 0.833843422407197
1 4 1
1 5 1
1 6 0.480361297839032
1 7 0.532441974494205
1 8 1
1 9 1
2 1 0
2 2 0
2 3 0.802471201463103
2 4 0.69529526798098
2 5 1
2 6 0.480361297839032
2 7 0.499124300467692
2 8 1
2 9 1
3 1 0.867092326826663
3 2 0
3 3 0.939579426329896
3 4 0.984840560596054
3 5 1
3 6 0.95476605777372
3 7 0.686813864150511
3 8 1
3 9 1
4 1 1
4 2 0
4 3 1
4 4 0.765028689239089
4 5 1
4 6 1
4 7 1
4 8 0.902004854237022
4 9 0.902004854237022
5 1 0
5 2 0
5 3 0.858825005751578
5 4 0.743047502103389
5 5 1
5 6 1
5 7 0.483576052588624
5 8 0.840678859791758
5 9 0.840678859791758
6 1 0
6 2 0
6 3 0.858825005751578
6 4 0.743047502103389
6 5 1
6 6 1
6 7 0.483576052588624
6 8 0.840678859791758
6 9 0.840678859791758
