r;q;time
0.05;0.659692;4670
0.1;0.660318;4494
0.15;0.665201;4397.2
0.2;0.669034;4374.2
0.25;0.668935;4429.8
0.3;0.671958;4348.4
0.35;0.67068;4704
0.4;0.672802;4409.4
0.45;0.6729;4443
0.5;0.671199;4697.2
0.55;0.671948;4553.2
0.6;0.672566;4736.4
0.65;0.671306;4472.8
0.7;0.670926;4824.6
0.75;0.670387;4555
0.8;0.67075;4494.4
0.85;0.671443;4594.4
0.9;0.670488;4660.4
0.95;0.670325;4595.8
