r;q;time
0.05;0.430162;52.5545
0.1;0.435221;50.2178
0.15;0.43946;51.099
0.2;0.441866;50.7525
0.25;0.442042;51.3861
0.3;0.441579;51.7921
0.35;0.442259;50.8416
0.4;0.441166;53.2079
0.45;0.440396;51.9208
0.5;0.439411;51.7921
0.55;0.439596;52.1881
0.6;0.439086;51.2772
0.65;0.438377;51.099
0.7;0.437686;52.6931
0.75;0.437885;51.3762
0.8;0.437505;52.1683
0.85;0.435795;53.5248
0.9;0.436549;52.8713
0.95;0.436529;53.7228
