r;q;time
0.05;0.443105;51.4158
0.1;0.443963;54.2376
0.15;0.444109;53.1881
0.2;0.444206;53.901
0.25;0.444206;56.3168
0.3;0.444206;57.1188
0.35;0.444339;52.1188
0.4;0.444206;52.6535
0.45;0.444206;53.8713
0.5;0.444469;53.198
0.55;0.444739;53.7426
0.6;0.444739;53.802
0.65;0.444848;52.8911
0.7;0.444206;55.7327
0.75;0.444848;53.3762
0.8;0.444739;52.8317
0.85;0.444848;54.1881
0.9;0.444871;54.2277
0.95;0.444848;54.9406
