step;k;q;f
1;3;0.652576;424.267
2;7;0.648152;431.029
3;1;0.65335;423.088
4;5;0.645665;434.85
5;1;0.652825;423.887
6;3;0.644639;436.43
7;1;0.649304;429.263
8;3;0.648495;430.502
9;1;0.655505;419.816
10;3;0.637233;447.915
11;1;0.654799;420.887
12;3;0.641161;441.808
13;1;0.653991;422.113
14;3;0.634235;452.604
15;1;0.653023;423.586
16;3;0.642608;439.567
17;1;0.655248;420.206
18;3;0.650967;426.72
19;1;0.648904;429.876
20;3;0.649105;429.568
