alpha;q;time
10;0.871937;144.571
11;0.883177;145.714
12;0.897713;147.762
14;0.885975;130.429
16;0.886983;142.524
18;0.895777;136.714
21;0.910138;137.667
23;0.917395;142.714
27;0.919217;148.952
30;0.931826;166.143
34;0.928127;165.667
39;0.930921;167.333
44;0.943098;164.857
50;0.944042;170.048
57;0.947236;170.952
65;0.95296;182.571
73;0.954912;211.81
83;0.955155;209.857
94;0.95497;233.286
107;0.95549;244.762
121;0.955463;236.429
138;0.954493;224.857
156;0.955347;313.762
177;0.955506;310.476
200;0.955411;327.333
227;0.955502;450
257;0.955506;386.19
292;0.955502;402.857
331;0.955504;494.762
375;0.955506;440.667
425;0.955539;585.905
481;0.955522;589.619
545;0.955506;799.667
618;0.955539;914.238
701;0.955522;989.524
794;0.955539;1028
900;0.955539;1393.62
1020;0.955539;1704.14
1155;0.955539;1507.24
1309;0.955539;1838.9
1484;0.955539;1965.43
1681;0.955539;2013.38
1905;0.955539;2390.24
2159;0.955539;2191.24
2446;0.955539;2142.29
2772;0.955539;2293.19
3141;0.955539;2724.95
3560;0.955539;2840.9
4034;0.955539;3099.38
4571;0.955539;2946.95
5180;0.955539;3059.48
5869;0.955539;3039.29
6651;0.955539;3345.95
7537;0.955539;3266.05
8540;0.955539;3365.71
9677;0.955539;3197.1
10966;0.955539;3195.86
12426;0.955539;3094.29
14081;0.955539;3127.9
15955;0.955539;3126.76
18080;0.955539;3064.38
20487;0.955539;3054.95
23215;0.955539;3076.43
26306;0.955539;3212.57
29809;0.955539;3263.52
33778;0.955539;3264.67
38276;0.955539;3173.52
43372;0.955539;3238.67
49147;0.955539;3265.14
55691;0.955539;3369.71
63106;0.955539;3362.76
71509;0.955539;3346.38
81030;0.955539;3338.62
91819;0.955539;3337.19
104045;0.955539;3326.67
117899;0.955539;3288.48
133597;0.955539;3215.33
151385;0.955539;3230.19
171542;0.955539;3166.19
194382;0.955539;3162.95
220264;0.955539;3251.95
249592;0.955539;3585.81
282825;0.955539;3704.43
320483;0.955539;3736.95
363155;0.955539;3790.86
411508;0.955539;3664.1
466300;0.955539;3679.33
528387;0.955539;3289.86
598741;0.955539;3266.19
678462;0.955539;3372.76
768799;0.955539;3396.57
871163;0.955539;3552.38
987157;0.955539;3483.33
1118596;0.955539;3881.86
1267535;0.955539;4006.48
1436305;0.955539;4025.95
1627547;0.955539;3962.95
1844253;0.955539;4002.43
2089812;0.955539;4022.38
2368068;0.955539;3995.19
2683372;0.955539;3603.38
3040659;0.955539;3452.81
