alpha;q;time
10;0.444739;54.2574
11;0.444739;52.8614
12;0.444739;52.2475
14;0.444739;55.2475
16;0.444739;55.9901
18;0.444739;55.8416
21;0.444739;50.6634
23;0.444739;50.7426
27;0.444739;51.8614
30;0.444739;50.099
34;0.444739;49.5149
39;0.444739;49.3861
44;0.444615;49.495
50;0.444739;49.6733
57;0.444739;49.6535
65;0.444739;48.2277
73;0.444739;50.1485
83;0.444739;48.802
94;0.444739;49.4851
107;0.444739;49.604
121;0.444739;48.8713
138;0.444739;50.0198
156;0.444739;50.3465
177;0.444739;49.9307
200;0.444739;50.9802
227;0.444739;52
257;0.444739;51.8812
292;0.444739;53.3465
331;0.444871;54.4257
375;0.444739;54.8317
425;0.444739;65.1089
481;0.444848;66.6832
545;0.444739;68.3762
618;0.444848;68.2079
701;0.444848;67.9307
794;0.444739;67.9109
900;0.444848;66.9901
1020;0.444739;69.0495
1155;0.444739;74.604
1309;0.444739;80.7723
1484;0.444739;84.0297
1681;0.444739;88.7822
1905;0.444739;87.3168
2159;0.444739;90.1584
2446;0.444739;92.9901
2772;0.444739;102.297
3141;0.444739;100.644
3560;0.444206;111.158
4034;0.444379;111.752
4571;0.444655;111.703
5180;0.444739;117.208
5869;0.444206;117.594
6651;0.444339;115.99
7537;0.444437;121.941
8540;0.444206;122.99
9677;0.444739;124.119
10966;0.444739;125.752
12426;0.444206;129.168
14081;0.444261;128.713
15955;0.444339;132.911
18080;0.444339;134.297
20487;0.444339;134.376
23215;0.444206;133.426
26306;0.444206;138.95
29809;0.444206;140.604
33778;0.444206;143.307
38276;0.444206;145.574
43372;0.444206;149.554
49147;0.444206;149.475
55691;0.444206;148.376
63106;0.444206;149.703
71509;0.444206;147.851
81030;0.444206;138.317
91819;0.444206;137.059
104045;0.444206;137.564
117899;0.444206;140.594
133597;0.444206;141.941
151385;0.444206;139.436
171542;0.444206;139.02
194382;0.444206;140.059
220264;0.444206;141.772
249592;0.444206;142.634
282825;0.444206;143.446
320483;0.444739;140.129
363155;0.444206;139.297
411508;0.444739;143.089
466300;0.444206;153.406
528387;0.444206;168.139
598741;0.444206;172.386
678462;0.444739;157.446
768799;0.444739;141.436
871163;0.444206;142.109
987157;0.444206;139.802
1118596;0.444206;137.426
1267535;0.444206;135.832
1436305;0.444206;137.178
1627547;0.444206;138.248
1844253;0.444206;141.366
2089812;0.444206;142.297
2368068;0.444206;135.97
2683372;0.444577;132.436
3040659;0.444206;122.307
