alpha;q;time
10;0.434992;53.7525
11;0.434992;54.2574
12;0.434992;54.2475
14;0.434905;53.5941
16;0.434905;53.4752
18;0.434905;54.5248
21;0.434544;53.7822
23;0.434544;54.0396
27;0.434256;55.4257
30;0.434281;52.4851
34;0.434027;53.2574
39;0.43439;54.1386
44;0.434489;53.1188
50;0.434802;51.495
57;0.433933;53.9901
65;0.43377;52.8515
73;0.434652;52.297
83;0.435794;52.3168
94;0.434761;52.0198
107;0.434563;52.3861
121;0.434909;53.1386
138;0.434333;54.1386
156;0.435328;53.6634
177;0.435189;53.4158
200;0.43481;53.1782
227;0.434387;52.8614
257;0.433957;52.9604
292;0.435163;54.6535
331;0.434644;53.6733
375;0.43564;54.7228
425;0.434592;55.3069
481;0.43468;56.2772
545;0.435089;58.3663
618;0.436015;60.7228
701;0.435439;60.5248
794;0.435449;61.7525
900;0.435755;63.7426
1020;0.435798;65.0495
1155;0.435614;69.8713
1309;0.436331;72.7723
1484;0.436133;76.6535
1681;0.435085;75.505
1905;0.436597;84.1584
2159;0.436145;88.6337
2446;0.437177;97.1485
2772;0.43669;100.158
3141;0.437159;107.99
3560;0.436349;113.158
4034;0.435921;116.01
4571;0.437735;130.376
5180;0.436346;141.891
5869;0.436288;143.475
6651;0.436799;163.584
7537;0.435712;164.653
8540;0.437118;185.248
9677;0.436613;188.218
10966;0.435749;206.832
12426;0.437204;208.663
14081;0.437069;223.188
15955;0.437796;236
18080;0.435992;241.406
20487;0.437019;252.752
23215;0.437526;258.208
26306;0.437077;255.099
29809;0.437191;268.901
33778;0.437608;271.139
38276;0.437535;283.079
43372;0.43585;287.178
49147;0.436208;292.802
55691;0.437252;289.248
63106;0.437721;290.356
71509;0.437561;294.475
81030;0.437216;297.238
91819;0.436815;292.129
104045;0.437824;302.02
117899;0.436441;301.02
133597;0.436359;301.584
151385;0.437084;300.446
171542;0.437182;302.129
194382;0.436994;302.634
220264;0.437296;309.663
249592;0.438306;300.782
282825;0.438578;315.069
320483;0.437031;326.802
363155;0.437682;315.158
411508;0.437968;301.089
466300;0.437631;305.792
528387;0.436606;302.604
598741;0.436916;306.416
678462;0.438335;306.653
768799;0.436773;306.406
871163;0.436376;309.713
987157;0.436998;313.95
1118596;0.437278;311.772
1267535;0.437725;311.386
1436305;0.437072;310.663
1627547;0.437404;303.386
1844253;0.437249;304.149
2089812;0.438257;311.861
2368068;0.437132;308.366
2683372;0.437935;298.089
3040659;0.436439;260.95
