alpha;q;time
10;0.670733;8670.6
11;0.670733;8621.6
12;0.670733;8750
13;0.668678;7426
14;0.668678;7524.8
16;0.668678;7579.8
18;0.670248;7343.6
20;0.670248;7278.2
22;0.670248;7293
24;0.668867;7144.4
27;0.668867;7043
30;0.668867;7089.2
33;0.668586;6954.6
36;0.668586;7056.8
40;0.668586;6942.2
44;0.670438;7360
49;0.670438;7358.8
54;0.670438;7360.4
60;0.670129;7298.2
66;0.670129;7259.2
73;0.670129;7311.2
81;0.669102;6759.6
90;0.669413;6912.2
99;0.670966;6752.4
110;0.669546;6545
121;0.670646;6652.4
134;0.671249;6475.2
148;0.671688;6546.2
164;0.669714;6641
181;0.670551;6713.8
200;0.67063;6496
221;0.670817;6385
245;0.670765;6398
271;0.67097;6912
299;0.671099;6746.8
331;0.671157;6921.4
365;0.670001;6833
404;0.670278;6552
447;0.67107;6583
494;0.670955;6566
545;0.67143;6678.8
603;0.671054;6613.6
666;0.671422;6469.6
736;0.671341;6623.8
814;0.670311;6679.8
900;0.670374;6849.4
994;0.671966;6636.4
1099;0.670044;6644
1215;0.670769;6831.6
1342;0.670247;7038.8
1484;0.669422;6918.6
