r;q;time
0.05;0.443105;44.5941
0.1;0.443963;44.5842
0.15;0.444206;43.7822
0.2;0.444206;43.7822
0.25;0.444206;43.0099
0.3;0.444206;43.4059
0.35;0.444206;43.7624
0.4;0.444206;42.7624
0.45;0.444339;43.802
0.5;0.444206;44.1782
0.55;0.444739;43.5149
0.6;0.444739;50.5743
0.65;0.444871;41.901
0.7;0.444739;44.1782
0.75;0.444871;43.297
0.8;0.444739;44.3861
0.85;0.444739;44.1683
0.9;0.444739;44.7327
0.95;0.444739;43.9406
1;0.444739;44.396
