r;q;time
0.05;0.430162;40.1584
0.1;0.435221;40.8317
0.15;0.442197;41.3564
0.2;0.441675;40.9901
0.25;0.442174;41.3069
0.3;0.44199;41.4851
0.35;0.441087;40.3762
0.4;0.440689;40.5545
0.45;0.440807;42.4653
0.5;0.439945;40.4059
0.55;0.439767;42.901
0.6;0.438411;43.3564
0.65;0.437124;42.1683
0.7;0.436302;43.9208
0.75;0.436105;41.6337
0.8;0.436113;43.2079
0.85;0.43652;41.8218
0.9;0.436631;41.5248
0.95;0.435849;43.1485
1;0.435824;42.703
