r1;q;time
0;0.727712;941.6
0.05;0.727973;1036.93
0.1;0.745295;1157.33
0.15;0.734253;983.267
0.2;0.750675;1048.67
0.25;0.771382;1149.73
0.3;0.745595;1121.47
0.35;0.773013;1185.6
0.4;0.738162;1087.07
0.45;0.797186;972.533
0.5;0.764036;940
0.55;0.762471;1080.27
0.6;0.949463;954.4
0.65;0.948954;1162.2
0.7;0.951495;1189.07
0.75;0.952285;1041.73
0.8;0.953059;1128.53
0.85;0.95057;849.667
0.9;0.951189;824.933
0.95;0.951313;842.267
