r1;q;time
0;0.444739;45.4653
0.05;0.444739;43.7228
0.1;0.444739;43.5248
0.15;0.444739;44.901
0.2;0.444848;43.5347
0.25;0.444739;43.7723
0.3;0.444739;50.5149
0.35;0.444787;51.099
0.4;0.444871;43.8416
0.45;0.444739;44.4455
0.5;0.444739;43.4257
0.55;0.444871;42.4752
0.6;0.444739;44.8614
0.65;0.444787;45.1881
0.7;0.444739;44.6139
0.75;0.444848;43.6238
0.8;0.444739;45.0198
0.85;0.444739;44.198
0.9;0.444739;43.8416
0.95;0.444739;44.3663
