r1;q;time
0;0.434832;43.9307
0.05;0.433749;43.2673
0.1;0.436165;43.8317
0.15;0.435203;42.8515
0.2;0.434883;42.2178
0.25;0.435976;42.7822
0.3;0.435034;42.099
0.35;0.435272;42.495
0.4;0.4354;41.7327
0.45;0.436151;44.3663
0.5;0.435515;41.2079
0.55;0.434822;41.1386
0.6;0.434361;42.6436
0.65;0.434763;46.0495
0.7;0.435268;43.9307
0.75;0.434811;43.6634
0.8;0.434387;43.2475
0.85;0.434802;43.8713
0.9;0.434575;43.1485
0.95;0.437741;42.7822
