r;q;time
0.05;0.955539;1044.93
0.1;0.955506;965.267
0.15;0.955098;1147.6
0.2;0.955098;1092.53
0.25;0.955069;918.267
0.3;0.954969;1314.27
0.35;0.954398;1046.8
0.4;0.954788;1127.8
0.45;0.954398;1192.2
0.5;0.954398;1020.07
0.55;0.954368;1042.33
0.6;0.954178;782.867
0.65;0.954398;889.067
0.7;0.952991;828.267
0.75;0.953112;1076.8
0.8;0.954088;1008.8
0.85;0.952048;975.8
0.9;0.746843;1003.6
0.95;0.750315;969.467
1;0.752126;847.933
