k0;q;time
1;0.670985;7120.27
2;0.669932;7339.09
3;0.670542;7782.09
4;0.671349;6608.73
5;0.671527;6441.09
6;0.670199;6440.18
7;0.670288;7478.36
8;0.670944;7936.55
9;0.671597;8452.18
10;0.670248;8350.55
11;0.669017;8475.82
12;0.669428;8679.27
13;0.669014;7605
14;0.667325;8143.91
15;0.668423;8431.55
16;0.669028;8329.36
17;0.667326;8355.82
18;0.666566;8564.27
19;0.666048;9186.18
20;0.665533;9660.09
21;0.66618;8479
