k0;q;time
1;0.444739;84.521
2;0.444739;81.525
3;0.444739;79.7984
4;0.444848;78.7984
5;0.444848;79.7146
6;0.444739;78.515
7;0.444848;79.4711
8;0.444739;79.4152
9;0.444739;79.8024
10;0.444739;79.7246
11;0.444739;79.509
12;0.444739;80.517
13;0.444739;92.5828
14;0.444739;93.7864
15;0.444739;90.7445
16;0.444739;96.9661
17;0.444739;98.6507
18;0.444739;98.6128
19;0.444739;85.3353
20;0.444739;87.1597
21;0.444739;86.3094
