k0;q;time
1;0.955539;4637
2;0.955539;4327.09
3;0.955539;4391.64
4;0.955539;3055
5;0.955539;1952.36
6;0.955539;1684.73
7;0.955596;759.727
8;0.955381;675
9;0.955683;950.545
10;0.955537;946
11;0.955518;1594.18
12;0.955506;1480.18
13;0.955539;1060.45
14;0.955539;2268.18
15;0.955052;487
16;0.955526;967.455
17;0.955539;966.182
18;0.955214;1135.18
19;0.955506;986.545
20;0.955535;677
21;0.955323;1183.27
