k0;q;time
1;0.435901;70.0938
2;0.435936;66.9421
3;0.435777;66.1238
4;0.436129;69.3992
5;0.435553;70.6926
6;0.435562;69.5788
7;0.435319;68.2036
8;0.435622;69.2315
9;0.435859;69.4212
10;0.435339;78.3473
11;0.435581;80.4611
12;0.436027;81.7425
13;0.435858;82.2595
14;0.435822;82.503
15;0.435645;83.9401
16;0.435759;92.0838
17;0.435676;94.4431
18;0.435651;96.016
19;0.435528;92.6387
20;0.436125;93.2096
21;0.436626;94.5808
