step;k;mu;mu0;mus;f
500;8;8.33118e-06;8.32993e-06;1.66624e-05;1169.55
1000;12;8.33118e-06;8.33063e-06;3.33178e-05;1169.55
1500;8;8.33118e-06;8.33045e-06;4.98266e-05;1169.55
2000;12;8.33125e-06;8.33063e-06;4.16394e-05;1169.55
2500;8;8.33118e-06;8.33028e-06;4.14489e-05;1169.55
3000;12;1.66481e-05;8.33059e-06;4.16016e-05;1100.32
3500;25;1.66618e-05;8.33101e-06;0.000123157;1100.24
4000;29;2.48763e-05;8.33104e-06;0.000208546;1060.16
4500;35;3.31563e-05;8.33104e-06;0.000493645;1031.43
5000;39;3.57686e-05;8.33125e-06;0.000429416;1023.84
5500;37;3.33217e-05;8.33104e-06;0.00036156;1030.93
6000;41;3.91442e-05;8.33118e-06;0.000485309;1014.83
6500;41;3.79914e-05;8.94581e-06;0.000228638;1017.82
7000;45;3.63215e-05;8.33129e-06;0.000252344;1022.31
7500;40;3.30113e-05;9.12288e-06;0.000188432;1031.87
8000;44;3.28098e-05;1.4447e-05;0.000325254;1032.48
8500;40;3.27065e-05;1.19614e-05;0.000237759;1032.79
9000;44;3.24608e-05;8.33118e-06;0.000161433;1033.55
9500;40;3.09754e-05;1.08732e-05;0.000130283;1038.23
10000;44;2.98695e-05;1.14191e-05;0.000136961;1041.87
10500;39;2.63419e-05;8.33118e-06;0.000186226;1054.43
11000;43;2.88382e-05;1.26197e-05;0.000186475;1045.38
11500;41;2.49311e-05;1.26515e-05;0.000193699;1059.94
12000;45;2.48075e-05;1.14429e-05;0.000165741;1060.44
12500;41;2.34043e-05;8.33129e-06;0.000130087;1066.26
13000;45;2.44921e-05;1.13967e-05;0.000129291;1061.72
13500;42;2.27666e-05;1.0099e-05;0.000119179;1069.02
14000;46;2.21887e-05;1.01803e-05;9.22327e-05;1071.59
14500;41;1.91744e-05;8.33125e-06;9.97001e-05;1086.19
15000;45;2.11878e-05;8.33129e-06;8.30521e-05;1076.21
15500;43;2.11722e-05;8.33118e-06;0.000141258;1076.28
16000;47;1.95598e-05;8.33118e-06;0.000131649;1084.2
16500;41;1.62155e-05;8.33118e-06;0.000106063;1102.95
17000;45;1.70199e-05;8.33111e-06;6.3903e-05;1098.11
17500;42;1.56758e-05;8.33115e-06;0.000125991;1106.34
18000;46;1.62003e-05;8.33101e-06;0.000126861;1103.05
18500;43;1.50027e-05;8.33101e-06;9.4774e-05;1110.73
19000;47;1.47979e-05;8.33111e-06;0.000159126;1112.1
19500;43;1.38024e-05;8.33097e-06;9.8955e-05;1119.07
20000;47;1.39342e-05;8.33101e-06;7.66282e-05;1118.12
20500;43;1.28382e-05;8.3309e-06;4.99679e-05;1126.31
21000;47;1.49993e-05;8.3309e-06;9.90505e-05;1110.75
21500;47;1.66558e-05;8.3309e-06;4.99777e-05;1100.28
22000;51;1.66485e-05;8.33076e-06;4.16484e-05;1100.32
22500;47;1.66589e-05;8.33076e-06;0.000133101;1100.26
23000;51;1.66591e-05;8.33076e-06;6.59112e-05;1100.26
23500;47;1.66556e-05;8.33076e-06;6.11255e-05;1100.28
24000;51;1.66615e-05;8.33059e-06;8.98092e-05;1100.24
24500;47;1.66588e-05;8.33045e-06;6.53981e-05;1100.26
25000;51;1.66608e-05;8.33038e-06;7.49328e-05;1100.24
25500;47;1.92361e-05;8.33007e-06;7.48959e-05;1085.87
26000;51;1.772e-05;8.32962e-06;6.66294e-05;1094.08
26500;45;2.49553e-05;8.32452e-06;8.97965e-05;1059.84
27000;49;2.49832e-05;8.20905e-06;0.000149761;1059.73
27500;45;8.27784e-06;7.62718e-06;0.000174636;1170.19
28000;49;7.84926e-06;7.39885e-06;8.30814e-06;1175.51
28500;44;7.48895e-06;6.98503e-06;7.84884e-06;1180.21
29000;48;7.2984e-06;5.62294e-06;7.39566e-06;1182.79
