step;k;mu;mu0;mus;f
500;8;8.33118e-06;8.33038e-06;1.66624e-05;584.775
1000;12;8.33122e-06;8.33045e-06;2.4993e-05;584.775
1500;8;8.33118e-06;8.33045e-06;2.4993e-05;584.775
2000;12;8.33129e-06;8.33063e-06;3.32928e-05;584.775
2500;8;8.33118e-06;8.32997e-06;4.16477e-05;584.775
3000;12;1.66387e-05;8.33045e-06;0.000124454;550.189
3500;17;1.66604e-05;8.33063e-06;0.000157385;550.124
4000;21;1.66614e-05;8.3308e-06;0.000123307;550.121
4500;17;2.08452e-05;8.33076e-06;0.000145576;538.919
5000;21;2.49899e-05;8.3309e-06;0.000325803;529.852
5500;19;2.70055e-05;8.3309e-06;0.000701311;525.973
6000;23;3.30157e-05;8.33097e-06;0.000393881;515.926
6500;22;3.30355e-05;8.33101e-06;0.000308897;515.896
7000;26;3.32488e-05;8.33104e-06;0.000378462;515.575
7500;22;2.75804e-05;8.33101e-06;0.000264421;524.92
8000;26;3.31821e-05;8.33104e-06;0.00048961;515.675
8500;24;3.17477e-05;8.33104e-06;0.000213146;517.884
9000;28;3.28484e-05;8.33104e-06;0.000324305;516.18
9500;24;2.86088e-05;8.33101e-06;0.000215004;523.09
10000;28;3.14904e-05;8.33111e-06;0.000215726;518.291
10500;25;2.88614e-05;8.33118e-06;0.000150534;522.65
11000;29;2.74286e-05;8.33118e-06;0.00013452;525.196
11500;24;2.49019e-05;8.33111e-06;0.000143671;530.028
12000;28;2.99994e-05;8.33122e-06;0.000202259;520.717
12500;26;2.46654e-05;8.33104e-06;0.000154186;530.506
13000;30;2.48804e-05;1.07302e-05;0.000145587;530.072
13500;26;2.39817e-05;8.33118e-06;0.000132573;531.911
14000;30;2.38853e-05;8.33101e-06;0.000149259;532.112
14500;26;2.28563e-05;8.33101e-06;7.80934e-05;534.314
15000;30;2.38787e-05;8.33104e-06;0.000107944;532.126
15500;27;2.17328e-05;8.33104e-06;0.000111441;536.834
16000;31;2.266e-05;8.33101e-06;0.000152649;534.745
16500;28;1.6652e-05;8.33097e-06;0.000151623;550.149
17000;32;1.91413e-05;8.33104e-06;9.39393e-05;543.183
17500;30;1.64709e-05;8.33101e-06;0.000110661;550.696
18000;34;1.64443e-05;8.33101e-06;7.08626e-05;550.777
18500;30;1.54432e-05;8.33101e-06;0.000108438;553.917
19000;34;1.58069e-05;8.33097e-06;7.98638e-05;552.753
19500;30;1.50716e-05;8.33101e-06;9.42216e-05;555.135
20000;34;1.48218e-05;8.33101e-06;0.000104216;555.971
20500;30;1.5332e-05;8.33076e-06;9.72159e-05;554.278
21000;34;1.57361e-05;8.33083e-06;0.000124555;552.978
21500;30;1.64708e-05;8.33076e-06;7.48238e-05;550.696
22000;34;1.66353e-05;8.33076e-06;6.6477e-05;550.199
22500;30;1.64507e-05;8.33056e-06;7.49522e-05;550.757
23000;34;1.66593e-05;8.33073e-06;6.02759e-05;550.127
23500;30;1.66592e-05;8.33045e-06;7.48722e-05;550.127
24000;34;1.66612e-05;8.33045e-06;0.000157855;550.121
24500;30;1.66606e-05;8.33038e-06;6.65568e-05;550.123
25000;34;1.66609e-05;8.33028e-06;7.05493e-05;550.122
25500;30;1.66609e-05;8.32945e-06;5.83042e-05;550.122
26000;34;2.28532e-05;8.3291e-06;8.32567e-05;534.321
26500;34;2.41426e-05;8.32632e-06;9.14821e-05;531.577
27000;38;2.49842e-05;8.03792e-06;0.000116504;529.863
27500;34;8.28709e-06;7.65967e-06;0.000174636;585.041
28000;38;7.92903e-06;7.55805e-06;8.26996e-06;587.249
28500;33;7.55612e-06;7.44768e-06;7.94442e-06;589.658
29000;37;7.54644e-06;5.97433e-06;7.5518e-06;589.722
