l;q;time
1;0.737191;6.74257
2;0.954809;88.5545
3;0.954238;159.663
4;0.953801;276.089
5;0.953346;331.436
6;0.952588;439.436
7;0.952529;563.347
8;0.95184;621.01
9;0.951731;697.881
10;0.95169;849.505
11;0.951173;901.05
12;0.951575;964.822
13;0.951278;1161.72
14;0.951083;1227.82
15;0.950856;1311.93
