l;q;time
5;0.442494;20.1881
6;0.441866;24.1287
7;0.441761;29.5644
8;0.441384;33.8317
9;0.440914;37.8218
10;0.440343;42.1485
11;0.43971;47.6733
12;0.439258;51.7426
13;0.439496;58.604
14;0.438022;62.802
15;0.438426;66.9208
16;0.436925;73.2277
17;0.438037;79.703
18;0.437278;84.1386
19;0.436968;87.297
