l;q;time
5;0.955506;377.467
6;0.955518;421.867
7;0.955539;518.933
8;0.955534;587.6
9;0.955539;705.133
10;0.955539;695.2
11;0.955539;758.067
12;0.955539;1027.93
13;0.955539;863.4
14;0.955539;1206.47
15;0.955539;1264.13
16;0.955539;1215.07
17;0.955539;1703.67
18;0.955539;1834.53
19;0.955539;1563.6
