l;q;time
1;0.429109;3.69652
2;0.439895;7.44776
3;0.440732;11.2388
4;0.440262;15.2587
5;0.439083;19.5224
6;0.438198;23.4577
7;0.437742;28.3632
8;0.435601;33.9154
9;0.435737;37.5174
10;0.435463;48.2537
11;0.434579;48.4677
12;0.433873;52.0448
13;0.434286;56.7612
14;0.43357;62.9154
15;0.432862;69.0846
