l;q;time
1;0.716939;8.27273
2;0.95391;81.3636
3;0.954442;185
4;0.953692;280.636
5;0.953379;352.182
6;0.951877;406.727
7;0.953743;592.545
8;0.951829;542.273
9;0.953059;844.909
10;0.952797;833.636
11;0.951739;999.364
12;0.950777;851.091
13;0.951177;1282.09
14;0.951979;1290.82
15;0.951694;1308.64
