l;q;time
5;0.444206;20.396
6;0.444206;24.5941
7;0.444206;31.2475
8;0.444206;33.802
9;0.444206;39.604
10;0.444206;45.0297
11;0.444739;49.3168
12;0.444848;53.8515
13;0.444739;60.9406
14;0.444257;68.3168
15;0.444739;71.3663
16;0.444655;77.1683
17;0.444739;84.099
18;0.444739;89.3168
19;0.444739;97.3861
