l;q;time
1;0.654664;421.818
2;0.664599;829.364
3;0.666902;1240
4;0.668344;1649.55
5;0.671324;2032.45
6;0.671167;2372.82
7;0.670703;2800.18
8;0.671141;3151.36
9;0.669127;3573.36
10;0.671585;3999.55
11;0.669943;4384.91
12;0.670647;4765.64
13;0.669051;5181.27
14;0.669907;5459
15;0.669814;6244.09
