l;q;time
1;0.429458;4.05473
2;0.439674;7.32338
3;0.440424;11.1294
4;0.440732;15.398
5;0.440472;19.3284
6;0.439131;23.7612
7;0.439142;28.3234
8;0.438568;32.8109
9;0.437517;37.1542
10;0.437824;41.791
11;0.438076;48.8308
12;0.437111;52.1891
13;0.437104;55.9204
14;0.436917;61.3333
15;0.436436;66.2836
