l;q;time
1;0.654664;423.182
2;0.664599;826
3;0.666902;1234.73
4;0.670959;1596.18
5;0.670637;1925.45
6;0.671656;2351.36
7;0.671746;2811.91
8;0.671126;3277.73
9;0.671773;3541.82
10;0.671109;3922.91
11;0.670717;4465.36
12;0.670078;4790
13;0.669493;5062.27
14;0.669482;5483.09
15;0.671024;6041.73
