l;q;time
5;0.669417;1981.91
6;0.670129;2362.73
7;0.671048;2674.18
8;0.672423;3112.55
9;0.671262;3620.27
10;0.671332;3881.18
11;0.671304;4279.18
12;0.672289;4738.64
13;0.671887;4895.91
14;0.671633;5511.18
15;0.671266;5882.45
16;0.672583;6277.64
17;0.67194;6616.64
18;0.669814;6881.82
19;0.671128;7244.64
