l;q;time
5;0.955539;476.182
6;0.955506;529.545
7;0.955539;600.909
8;0.955539;733.091
9;0.955539;913.273
10;0.955539;985.909
11;0.955539;1158.55
12;0.955539;1286.91
13;0.955539;1342.36
14;0.955539;1151.18
15;0.955539;1411.91
16;0.955539;1822.55
17;0.955539;1580.27
18;0.955539;1817.09
19;0.955539;2072.64
