l;q;time
5;0.444739;23.8119
6;0.444848;29.4356
7;0.444848;36.099
8;0.444848;42.1287
9;0.444739;47.5743
10;0.444871;52.8515
11;0.444739;63.1089
12;0.444848;66.0297
13;0.444848;73.5743
14;0.444848;79.3465
15;0.444739;86.2673
16;0.444739;91.6436
17;0.444739;100.634
18;0.444739;108.089
19;0.444739;116.337
