l;q;time
1;0.440156;3.44279
2;0.443775;6.8209
3;0.444206;10.4129
4;0.444206;14.6667
5;0.444655;18.8557
6;0.444739;24.2139
7;0.444739;28.8756
8;0.444739;33.6766
9;0.444848;37.806
10;0.444739;43.4428
11;0.444848;49.9851
12;0.444848;55.2388
13;0.444739;59.1343
14;0.444739;65.2637
15;0.444739;67.3682
