l;q;time
1;0.429109;3.80597
2;0.439895;7.33831
3;0.440732;11.2587
4;0.440262;15.2935
5;0.439083;19.6219
6;0.438198;23.5075
7;0.437742;28.4876
8;0.435601;33.3532
9;0.435737;37.5672
10;0.435463;41.9552
11;0.434579;47.3632
12;0.433873;51.995
13;0.434286;56.8259
14;0.43357;62.9453
15;0.432862;68.995
