l;q;time
1;0.441391;3.60265
2;0.443963;6.74834
3;0.444339;10.4768
4;0.444739;14.6225
5;0.444739;18.7682
6;0.444739;23.2914
7;0.444848;28.9934
8;0.444739;32.9338
9;0.444739;39.0728
10;0.444871;42.8344
11;0.444739;49.8742
12;0.444739;55.0861
13;0.444739;59.8013
14;0.444739;65.8675
15;0.444739;69.5364
